# no of samples, error
2.000000000000000000e+00,4.196593976319994823e+01
2.000000000000000000e+00,4.196886705872831413e+01
2.000000000000000000e+00,4.196936464706984538e+01
2.000000000000000000e+00,4.196739276469980950e+01
2.000000000000000000e+00,4.196941217480460296e+01
4.000000000000000000e+00,4.183295839142896000e+01
4.000000000000000000e+00,4.141074261398208733e+01
4.000000000000000000e+00,4.141074261398208733e+01
4.000000000000000000e+00,4.141074261398208733e+01
4.000000000000000000e+00,4.141074261398208733e+01
6.000000000000000000e+00,3.866178308498567162e+01
6.000000000000000000e+00,3.876396694366169271e+01
6.000000000000000000e+00,3.876396694366169271e+01
6.000000000000000000e+00,3.876396694366169271e+01
6.000000000000000000e+00,3.749217430617228075e+01
8.000000000000000000e+00,3.678628901757979008e+01
8.000000000000000000e+00,3.150255320616549071e+01
8.000000000000000000e+00,2.300185949439811850e+01
8.000000000000000000e+00,3.837986875111562313e+01
8.000000000000000000e+00,1.596665917369493570e+01
1.000000000000000000e+01,8.343062179398105016e+00
1.000000000000000000e+01,1.188173476174575960e+01
1.000000000000000000e+01,7.947103012689209045e+00
1.000000000000000000e+01,9.183273284047583473e+00
1.000000000000000000e+01,1.277669604676136039e+01
1.200000000000000000e+01,6.044917323198396808e+00
1.200000000000000000e+01,8.007482219647126698e+00
1.200000000000000000e+01,9.053938680821737250e+00
1.200000000000000000e+01,7.823662245596399778e+00
1.200000000000000000e+01,6.055828612542779155e+00
1.400000000000000000e+01,6.493026117929887597e+00
1.400000000000000000e+01,5.000809210566688812e+00
1.400000000000000000e+01,6.114675470583111228e+00
1.400000000000000000e+01,5.347831474577787070e+00
1.400000000000000000e+01,5.704273307502408130e+00
1.600000000000000000e+01,4.557920767445387433e+00
1.600000000000000000e+01,4.895995060137078525e+00
1.600000000000000000e+01,5.129794001897987066e+00
1.600000000000000000e+01,4.956586129832967202e+00
1.600000000000000000e+01,4.657666767634410121e+00
1.800000000000000000e+01,6.435588570016034460e+00
1.800000000000000000e+01,6.419001458325578113e+00
1.800000000000000000e+01,6.384694695763321270e+00
1.800000000000000000e+01,6.162572030049491723e+00
1.800000000000000000e+01,4.634982113091820288e+00
2.000000000000000000e+01,4.804825311291201828e+00
2.000000000000000000e+01,4.748482122260258009e+00
2.000000000000000000e+01,5.054745590529519106e+00
2.000000000000000000e+01,4.651798952798604780e+00
2.000000000000000000e+01,4.574071528120409624e+00
2.400000000000000000e+01,4.639566750406685536e+00
2.400000000000000000e+01,4.553451596125819734e+00
2.400000000000000000e+01,4.796764953147228283e+00
2.400000000000000000e+01,4.689312010275643594e+00
2.400000000000000000e+01,4.974037750912257749e+00
2.800000000000000000e+01,4.581228454295215968e+00
2.800000000000000000e+01,4.606010674588972620e+00
2.800000000000000000e+01,4.571023269071976536e+00
2.800000000000000000e+01,4.528424553057919688e+00
2.800000000000000000e+01,4.587218473730992230e+00
3.200000000000000000e+01,4.381106554370489015e+00
3.200000000000000000e+01,4.550665866632059853e+00
3.200000000000000000e+01,4.514342817537315256e+00
3.200000000000000000e+01,4.512899681636816318e+00
3.200000000000000000e+01,4.439427151335346267e+00
3.600000000000000000e+01,4.561108665420288588e+00
